carAge;dureeGarantie;kilometrage;marqueModele;prixTtc;puissanceFiscale;tauxCo2;typeEnergie;dureeTotale;valeurRachat
30;0;26962;79;23490.0;5;122;1;54.0;7687.89
8;17;10;28;47990.0;10;147;1;60.0;17015.95
7;18;10;82;29990.0;7;114;3;60.0;11407.48
6;19;10;81;33990.0;7;139;1;60.0;12430.16
22;2;10123;101;19990.0;6;120;3;60.0;7582.29
24;1;67366;79;22490.0;7;123;3;60.0;8260.05
11;14;47524;110;29990.0;8;140;1;60.0;11648.56
10;15;10;29;37990.0;7;130;3;60.0;13918.24
11;14;10;48;27990.0;6;129;7;60.0;9314.98
3;22;15;94;19990.0;5;117;1;60.0;8237.88
3;22;10;93;24564.0;5;107;6;60.0;11983.86
6;19;3;82;28860.0;7;125;1;60.0;10949.98
2;23;23;81;47860.0;11;27;6;60.0;25208.85
7;18;3;81;34860.0;7;130;3;60.0;14348.41
5;20;6;84;41860.0;7;141;1;60.0;18080.83
9;16;7;26;24060.0;6;126;3;60.0;7883.18
40;0;60018;81;26044.0;10;165;1;42.0;12081.85
4;21;10;94;21764.0;5;117;1;60.0;9721.26
5;19;2;80;25860.0;5;115;1;60.0;11078.49
8;17;10;25;18990.0;4;123;1;60.0;7322.24
8;17;10;82;28990.0;7;114;3;60.0;10272.4
15;10;6567;25;17490.0;5;111;3;60.0;6786.3
8;17;10;82;31990.0;7;114;3;60.0;11598.95
10;15;10;29;37990.0;7;130;3;60.0;13918.24
12;13;19604;93;25990.0;5;30;7;60.0;13675.43
22;3;29512;94;20990.0;5;98;6;60.0;9089.8
30;0;21028;29;26290.0;7;138;3;54.0;10278.62
15;10;29121;15;51990.0;10;148;3;60.0;21126.21
37;0;37243;96;21290.0;6;147;3;48.0;8678.04
49;0;109903;75;16890.0;6;106;3;36.0;7017.79
9;16;10;25;18490.0;4;123;1;60.0;7257.66
8;17;10;25;18990.0;4;123;1;60.0;6288.05
8;17;10;79;26490.0;6;116;3;60.0;10094.2
6;19;10;44;19990.0;5;128;3;60.0;7241.14
4;21;10;80;22690.0;5;109;3;60.0;9279.19
8;17;10;82;30990.0;7;114;3;60.0;11318.77
26;0;14553;66;29990.0;7;130;1;54.0;10544.66
31;53;67749;56;23990.0;7;126;3;48.0;9449.5
24;1;15962;54;32990.0;10;45;7;60.0;12602.34
8;17;10;82;29990.0;7;114;3;60.0;10272.4
24;0;40090;79;24990.0;7;125;1;60.0;8260.26
57;0;58873;60;22490.0;6;107;3;24.0;14551.95
11;14;10;48;27990.0;6;129;7;60.0;9314.98
8;17;10;25;19490.0;5;111;3;60.0;7823.79
8;17;10;25;18233.0;4;123;1;60.0;7322.24
41;0;70932;81;28990.0;9;161;3;42.0;12673.07
22;3;12655;66;23990.0;5;122;1;60.0;8944.27
25;0;41;81;42490.0;11;29;7;60.0;19119.24
6;19;10;84;38990.0;7;133;3;60.0;15848.25
8;17;10;29;35490.0;7;140;1;60.0;13948.45
38;0;50355;43;37490.0;8;0;3;42.0;12341.71
21;3;62326;82;21990.0;7;127;1;60.0;8958.62
8;17;10;82;30990.0;7;114;3;60.0;11318.77
27;0;26605;103;26990.0;7;186;3;54.0;8558.24
29;0;4662;29;29990.0;7;130;3;54.0;9673.16
20;4;31658;39;39990.0;10;30;6;60.0;13099.02
9;15;10;29;37990.0;7;130;3;60.0;14047.29
48;0;38400;22;44490.0;11;140;3;36.0;22842.33
21;3;28839;38;28990.0;7;126;3;60.0;10248.98
8;17;10;27;30990.0;7;129;3;60.0;12359.26
6;19;10;44;19990.0;5;128;3;60.0;7241.14
9;16;10;47;39990.0;8;131;6;60.0;17961.43
8;17;10;23;34490.0;7;138;3;60.0;10829.43
8;17;10;25;19490.0;5;111;3;60.0;7823.79
31;6;6500;118;21290.0;5;92;6;54.0;7253.84
3;34;10;118;31990.0;5;100;6;60.0;10689.26
8;17;10;29;35490.0;7;140;1;60.0;13948.45
8;17;10;82;28990.0;7;114;3;60.0;10272.4
8;17;10;81;35990.0;7;130;3;60.0;14624.35
30;0;20271;85;25490.0;7;120;3;54.0;9162.51
8;17;10;82;31990.0;7;114;3;60.0;11598.95
9;28;10;114;34490.0;8;119;6;60.0;14632.57
6;19;10;44;19990.0;5;128;3;60.0;7241.14
8;17;10;82;30990.0;7;114;3;60.0;11318.77
39;0;45666;123;30990.0;8;146;3;42.0;14120.88
11;14;10;48;27990.0;6;129;7;60.0;9314.98
25;0;45209;79;26990.0;7;125;3;60.0;10051.46
8;17;10;82;30990.0;7;114;3;60.0;11318.77
6;19;10;81;35990.0;7;130;3;60.0;14305.01
6;19;10;98;24990.0;5;138;3;60.0;8749.46
8;17;10;82;30990.0;7;114;3;60.0;11318.77
12;12;13697;80;21790.0;5;115;1;60.0;8794.96
49;0;47995;2;26990.0;7;110;1;36.0;13953.8
42;0;13942;66;24790.0;5;114;1;42.0;8101.26
38;0;40143;94;14990.0;5;118;1;42.0;5953.55
28;0;63277;0;34990.0;11;184;1;54.0;14825.53
24;1;11460;66;29990.0;7;130;1;60.0;10255.6
22;3;9179;85;39990.0;10;28;7;60.0;13314.14
6;19;10;98;24990.0;5;138;3;60.0;8749.46
12;13;5700;28;42490.0;10;147;1;60.0;15202.07
40;0;18093;13;28990.0;8;115;3;42.0;17011.31
31;0;42621;119;24490.0;7;123;1;54.0;8337.25
8;17;10;82;31990.0;7;114;3;60.0;11598.95
8;17;10;25;20490.0;6;120;1;60.0;8364.68
22;3;32259;106;16490.0;5;118;1;60.0;6116.43
6;19;10;84;38990.0;7;133;3;60.0;15848.25
6;19;10;44;19990.0;5;128;3;60.0;7241.14
6;19;10;45;29990.0;0;0;3;60.0;10938.47
14;11;50;39;43990.0;13;148;1;60.0;15030.02
14;11;16304;81;40990.0;10;31;6;60.0;18839.08
8;17;10;82;29990.0;7;114;3;60.0;10272.4
15;10;10;94;19529.0;5;117;1;60.0;8295.43
6;19;10;44;19990.0;5;128;3;60.0;7241.14
21;16;25141;58;26990.0;10;133;7;60.0;11356.01
3;34;10;118;31990.0;5;102;6;60.0;11633.1
10;15;10;29;37990.0;7;130;3;60.0;13918.24
7;18;50;39;52990.0;10;30;6;60.0;17829.76
8;17;10;26;24990.0;7;141;1;60.0;8081.64
6;19;10;44;19990.0;5;128;3;60.0;7241.14
6;18;10;82;24990.0;6;124;1;60.0;9103.37
9;16;10;29;37990.0;7;140;1;60.0;13831.27
9;28;10;114;34490.0;8;119;6;60.0;14632.57
6;19;10;81;35990.0;7;130;3;60.0;14305.01
35;0;22728;81;36990.0;11;30;7;48.0;20075.14
11;14;10;48;25990.0;6;118;2;60.0;9038.67
52;0;32585;19;26990.0;8;119;3;30.0;14485.59
41;0;31458;6;55990.0;14;180;7;42.0;27751.85
2;23;10;35;27134.0;6;139;3;60.0;12551.7
23;2;35335;25;20100.0;6;134;1;60.0;7931.6
3;22;2;25;23860.0;6;134;1;60.0;11293.83
5;19;10;88;32990.0;7;138;3;60.0;11517.1
6;19;10;80;28490.0;7;122;1;60.0;11578.74
40;0;78425;108;27490.0;8;141;3;42.0;11179.37
25;0;28577;81;39360.0;10;31;6;60.0;16014.87
16;9;10;94;18990.0;5;117;1;60.0;8233.87
22;3;36632;25;16476.0;5;111;3;60.0;6208.47
28;0;16540;25;18200.0;5;111;3;54.0;6490.2
22;3;38367;25;20700.0;6;134;1;60.0;7935.02
5;20;10;26;28600.0;6;130;3;60.0;8910.55
38;0;33779;26;22500.0;6;136;3;42.0;7491.96
22;3;52105;81;28990.0;7;139;1;60.0;10275.01
9;16;10;27;30600.0;7;130;1;60.0;11773.61
40;0;60081;84;29712.0;10;167;1;42.0;12871.51
9;16;6270;27;31100.0;7;131;1;60.0;9606.92
25;0;19090;27;31000.0;7;119;1;60.0;8214.73
41;0;43000;81;23904.0;7;146;1;42.0;10625.39
13;12;16812;81;43900.0;11;30;6;60.0;19985.79
13;12;50;29;35800.0;7;145;3;60.0;13773.68
8;16;7759;25;16790.0;4;123;1;60.0;6196.64
6;19;7;7;41860.0;8;132;3;60.0;16035.73
18;7;13886;47;36790.0;8;127;5;60.0;14631.47
9;16;6030;27;31200.0;7;131;1;60.0;10087.27
33;0;20870;82;24860.0;7;127;1;48.0;9716.72
5;19;2;81;40260.0;7;142;3;60.0;18176.89
4;20;3;81;42860.0;10;28;6;60.0;20803.1
6;19;3;81;38860.0;7;145;1;60.0;15906.11
5;20;2;81;32860.0;7;139;1;60.0;14646.01
9;16;2;84;36060.0;7;133;3;60.0;13895.7
3;22;3;85;38860.0;7;130;3;60.0;13960.88
6;19;5;79;37860.0;4;0;0;60.0;14507.36
5;20;6;79;38560.0;4;0;0;60.0;14652.72
3;22;4;79;26860.0;7;125;1;60.0;11398.2
3;22;16;93;24360.0;5;132;1;60.0;11155.84
15;10;40;85;34660.0;7;131;1;60.0;11862.11
4;21;9;93;34360.0;5;30;7;60.0;19474.57
3;22;4;85;38860.0;7;130;3;60.0;13960.88
31;0;26578;85;35360.0;10;32;7;54.0;13772.0
3;22;3;85;38860.0;7;130;3;60.0;13960.88
30;0;27327;85;31360.0;10;28;7;54.0;11619.27
5;20;3;81;50860.0;11;27;6;60.0;26066.58
5;19;2;80;25860.0;5;115;1;60.0;11078.49
3;22;5;79;26560.0;7;125;1;60.0;11270.9
6;19;2;81;34560.0;7;130;3;60.0;14292.28
7;18;5;81;34860.0;7;130;3;60.0;14348.41
6;19;5;79;36860.0;4;0;0;60.0;14507.36
7;18;3;81;34860.0;7;130;3;60.0;14348.41
7;18;2;81;34860.0;7;130;3;60.0;14348.42
4;21;2;81;33860.0;7;130;3;60.0;14425.94
30;0;19654;81;29360.0;7;146;1;54.0;10739.47
5;20;2;81;50860.0;11;27;6;60.0;26066.58
5;20;3;81;45860.0;10;28;6;60.0;22512.7
5;20;2;81;32860.0;7;139;1;60.0;14646.01
5;20;2;82;33660.0;7;128;3;60.0;12380.3
21;4;29366;81;42860.0;11;30;6;60.0;19152.26
5;20;2;84;35860.0;7;133;3;60.0;16104.46
4;21;3;81;42860.0;10;28;6;60.0;20803.1
5;20;3;85;36160.0;7;130;3;60.0;13018.68
3;22;5;85;37860.0;7;130;3;60.0;13960.88
4;21;3;81;36860.0;7;139;1;60.0;16933.3
4;21;11;47;40860.0;8;23;7;60.0;20329.39
6;19;2;73;20560.0;5;106;3;60.0;8178.51
4;20;12;48;29860.0;6;129;7;60.0;11006.51
8;17;12;48;30060.0;6;121;7;60.0;9695.97
24;1;18451;54;33860.0;10;45;7;60.0;12771.75
4;21;20;48;29860.0;6;129;7;60.0;11006.51
5;20;23;48;29860.0;6;121;7;60.0;10042.01
5;19;10;48;29860.0;6;121;7;60.0;10042.01
7;18;7;44;19260.0;5;128;3;60.0;7117.84
7;18;7;44;19260.0;5;128;3;60.0;7117.84
7;18;8;44;18660.0;5;128;3;60.0;7117.84
7;18;8;44;18660.0;5;128;3;60.0;7117.84
5;19;8;48;29860.0;6;121;7;60.0;10042.01
4;21;8;48;29860.0;6;121;7;60.0;10145.03
4;20;9;48;29860.0;6;129;7;60.0;11006.51
10;15;4;54;39060.0;7;41;7;60.0;14674.85
4;21;10;48;29860.0;6;129;7;60.0;11006.51
8;17;12;48;30060.0;6;121;7;60.0;9695.97
4;21;8;48;29860.0;6;121;7;60.0;10145.03
7;18;6;44;18660.0;5;128;3;60.0;7117.84
8;17;11;48;30060.0;6;121;7;60.0;9695.97
5;19;13;48;29860.0;6;121;7;60.0;10042.01
7;18;12;44;18660.0;5;128;3;60.0;7117.84
7;18;11;44;18660.0;5;128;3;60.0;7117.84
7;18;8;44;18660.0;5;128;3;60.0;7117.84
7;18;8;44;19260.0;5;128;3;60.0;7117.84
9;16;7;44;18860.0;5;128;3;60.0;6989.96
7;18;8;44;19260.0;5;128;3;60.0;7117.84
7;18;8;44;18660.0;5;128;3;60.0;7117.84
7;18;10;44;18660.0;5;128;3;60.0;7117.84
7;18;7;44;18300.0;5;128;3;60.0;7117.84
25;0;33713;80;22000.0;5;118;1;60.0;5812.9
10;15;10;80;25000.0;5;115;1;60.0;9520.15
3;21;10;84;43490.0;7;146;3;60.0;18808.04
10;15;10;35;26490.0;6;139;3;60.0;11716.99
48;0;34180;66;23432.0;7;122;1;36.0;8400.09
6;19;10;25;22360.0;5;117;3;60.0;9187.54
49;0;106252;102;17744.0;8;136;1;36.0;7319.07
22;3;38608;79;26500.0;5;123;1;60.0;7836.6
15;10;9846;124;44490.0;11;144;5;60.0;17223.52
8;16;10;79;32090.0;7;125;1;60.0;12153.14
6;19;6;25;22360.0;5;117;3;60.0;9187.54
24;1;50345;79;26600.0;5;123;1;60.0;7124.73
11;13;10;104;23490.0;6;120;1;60.0;7855.27
41;0;39627;79;19490.0;6;102;1;42.0;8161.22
7;18;5;25;22460.0;5;117;3;60.0;9039.48
7;18;10;47;33490.0;8;127;5;60.0;14810.05
3;22;10;80;27382.0;7;122;1;60.0;12763.08
5;20;2;25;23860.0;6;120;1;60.0;8674.18
13;12;13190;81;43900.0;11;30;6;60.0;20113.82
7;18;2;25;22460.0;5;117;3;60.0;9039.48
7;18;2;25;22460.0;5;117;3;60.0;9039.48
5;20;3;25;23860.0;6;134;1;60.0;9597.61
13;11;1069;92;37290.0;5;107;6;60.0;15894.99
41;0;12550;24;12290.0;3;85;1;42.0;3860.83
6;19;10;30;38200.0;7;242;3;60.0;13488.81
13;12;13264;81;43900.0;11;30;6;60.0;20113.82
2;23;10;35;27134.0;6;139;3;60.0;12551.7
6;19;25;30;38200.0;7;242;3;60.0;13488.81
25;0;44147;27;24490.0;7;129;3;60.0;10311.97
10;14;11180;80;24300.0;5;121;1;60.0;8802.79
5;19;2;26;26860.0;7;142;1;60.0;9007.69
6;19;10;29;36364.0;7;130;3;60.0;14322.93
48;0;30683;66;23432.0;7;122;1;36.0;8457.28
6;19;10;29;36364.0;7;130;3;60.0;14322.93
12;13;2;26;25060.0;6;126;3;60.0;7634.78
5;20;10;81;37864.0;7;142;3;60.0;17318.32
10;15;6000;82;29544.0;7;125;1;60.0;10625.23
12;13;12140;80;23700.0;5;121;1;60.0;8581.87
10;14;10799;37;19404.0;5;127;1;60.0;7803.81
50;0;56911;61;31244.0;10;128;3;30.0;19302.08
10;14;10;9;70490.0;11;166;5;60.0;30509.07
12;13;16210;80;23700.0;5;121;1;60.0;8515.6
29;0;3380;81;39600.0;11;30;7;54.0;20942.02
4;21;11;26;26360.0;7;142;1;60.0;10057.06
54;0;46500;52;34490.0;9;146;3;30.0;18384.44
9;16;25;80;22800.0;5;115;1;60.0;9539.04
17;8;13851;40;37932.0;7;143;3;60.0;16085.32
5;20;7;26;27360.0;7;142;1;60.0;9007.69
4;21;13;26;26360.0;7;142;1;60.0;10057.06
22;3;48411;80;20932.0;5;106;3;60.0;6669.84
5;20;2;26;26860.0;7;142;1;60.0;9007.69
14;10;10;92;32490.0;7;132;7;60.0;14112.19
11;14;11990;80;24300.0;5;121;1;60.0;8681.97
5;20;10;81;37582.0;7;142;3;60.0;17318.32
4;21;10;81;37582.0;7;142;3;60.0;17491.3
3;22;2;25;23860.0;6;134;1;60.0;11293.83
6;19;10;29;36364.0;7;130;3;60.0;14322.93
43;0;45004;88;26684.0;6;125;1;42.0;7457.01
31;0;39942;107;25744.0;8;132;1;54.0;8950.81
15;22;14862;67;25602.0;6;137;1;60.0;10695.47
3;22;2;25;23860.0;6;134;1;60.0;11293.83
7;17;10;9;57590.0;9;149;5;60.0;27056.22
2;23;10;104;26990.0;6;120;1;60.0;11660.72
10;14;8790;80;24100.0;5;121;1;60.0;8873.53
12;13;15155;80;23800.0;5;121;1;60.0;8535.64
10;14;6755;80;24100.0;5;121;1;60.0;8908.11
22;3;34837;25;16332.0;4;123;1;60.0;4935.4
12;13;10;80;28490.0;7;122;1;60.0;10894.98
9;15;7635;80;24700.0;5;121;1;60.0;8549.15
10;15;6000;81;39044.0;7;130;3;60.0;14891.1
18;6;10;88;34490.0;7;138;3;60.0;9897.01
8;17;600;25;18984.0;4;123;1;60.0;6280.74
11;14;10;81;36490.0;7;139;1;60.0;14242.68
20;4;9228;73;18472.0;4;117;1;60.0;5481.2
11;14;8630;80;24100.0;5;121;1;60.0;8773.8
8;17;10;26;28490.0;6;134;3;60.0;9682.64
8;17;10;26;26490.0;6;126;3;60.0;7951.24
8;17;10;26;28490.0;7;145;1;60.0;9497.83
8;17;10;26;28990.0;6;134;3;60.0;9682.64
28;0;31878;46;20990.0;8;112;1;54.0;6977.22
41;0;60265;88;24990.0;6;125;1;42.0;7924.32
8;17;10;26;27490.0;7;142;1;60.0;8775.5
8;17;10;79;30090.0;7;133;1;60.0;10997.56
41;0;37873;81;23930.0;7;146;1;42.0;10778.2
9;16;15;48;29300.0;6;125;7;60.0;9216.46
4;21;1;29;34860.0;7;145;3;60.0;14752.94
4;21;1;29;34860.0;7;130;3;60.0;13626.99
3;22;1;29;34860.0;7;130;3;60.0;13630.17
5;20;2;29;36860.0;7;130;3;60.0;14498.06
5;19;2;29;42860.0;10;29;7;60.0;19683.39
6;19;3;29;42860.0;10;29;7;60.0;19816.72
6;19;3;29;36360.0;7;130;3;60.0;14321.37
4;21;2;29;34860.0;7;130;3;60.0;13626.99
5;20;2;29;42860.0;10;29;7;60.0;19683.39
18;7;33208;29;26360.0;7;139;1;60.0;9168.95
3;22;1;29;34860.0;7;130;3;60.0;13630.17
6;19;1;29;36860.0;7;130;3;60.0;14405.87
6;19;4;29;36860.0;7;130;3;60.0;14405.87
5;19;2;29;36860.0;7;130;3;60.0;14498.06
3;22;1;29;34860.0;7;130;3;60.0;13630.17
4;21;1;29;34860.0;7;130;3;60.0;13626.99
3;22;2;29;34860.0;7;130;3;60.0;13630.17
4;20;12;29;35860.0;7;130;3;60.0;14017.9
4;21;1;29;34860.0;7;130;3;60.0;13626.99
3;22;4;29;35460.0;7;130;3;60.0;13864.77
3;22;1;29;34860.0;7;145;3;60.0;14749.41
5;20;7;29;35460.0;7;130;3;60.0;13947.4
6;19;2;27;29860.0;7;129;3;60.0;12669.7
6;19;2;27;29860.0;7;129;3;60.0;12669.7
10;15;15;122;40600.0;6;136;1;60.0;10699.96
3;22;4;29;35860.0;7;145;3;60.0;15172.52
8;17;10;30;38200.0;7;242;3;60.0;13124.15
6;19;40;35;26700.0;6;139;3;60.0;11943.54
8;16;20;9;60060.0;9;148;5;60.0;27644.49
19;5;25588;13;33590.0;8;118;3;60.0;16275.01
2;23;10;93;25382.0;5;132;1;60.0;12148.67
6;19;10;30;38200.0;7;242;3;60.0;13488.81
31;0;60011;81;26990.0;7;136;3;54.0;9708.38
39;0;63009;84;30430.0;10;167;1;42.0;12987.21
6;19;10;35;23400.0;7;141;1;60.0;10263.52
6;19;6;7;41860.0;8;132;3;60.0;16035.73
4;21;13;26;26360.0;7;142;1;60.0;10057.06
6;19;2;27;29860.0;7;129;3;60.0;12669.7
6;19;2;27;29860.0;7;129;3;60.0;12669.7
6;19;10;87;41800.0;7;183;3;60.0;13215.46
12;13;10;84;44500.0;7;139;3;60.0;15641.72
9;27;10;69;30864.0;7;142;7;60.0;13957.72
4;21;2;27;29860.0;7;129;3;60.0;13689.35
14;11;10;84;36800.0;7;142;1;60.0;13472.1
6;19;2;25;20860.0;4;123;1;60.0;7533.71
9;27;10;69;30864.0;7;142;7;60.0;13957.72
20;5;17904;20;43944.0;10;141;3;60.0;17799.66
22;3;46055;82;22700.0;7;114;3;60.0;8543.41
4;21;10;26;26760.0;7;142;1;60.0;10057.06
22;3;59953;82;22400.0;7;128;1;60.0;9118.0
9;16;10;84;44100.0;7;139;3;60.0;16048.26
7;18;10;82;35800.0;7;128;3;60.0;12261.72
6;19;10;82;35600.0;7;128;3;60.0;12319.74
5;20;21;27;29860.0;7;129;3;60.0;12760.0
37;0;31119;101;20764.0;7;136;1;48.0;7569.62
5;20;21;27;29860.0;7;129;3;60.0;12760.0
5;20;20;27;29860.0;7;129;3;60.0;12760.0
9;16;30;82;38000.0;7;128;1;60.0;12647.25
4;21;8;26;26760.0;7;142;1;60.0;10057.06
28;0;14650;81;28600.0;7;146;1;54.0;11756.69
55;0;114762;81;21900.0;6;106;3;30.0;7404.42
20;5;12541;20;44244.0;10;141;3;60.0;17771.08
28;0;12535;81;28400.0;7;146;1;54.0;11863.38
4;21;11;26;26360.0;7;142;1;60.0;10057.06
2;23;10;93;25864.0;5;132;1;60.0;12240.49
5;19;10;119;29990.0;6;110;3;60.0;12085.22
35;0;72480;119;21722.0;8;129;1;48.0;8628.0
15;10;8;19;45060.0;9;148;1;60.0;20736.63
24;1;23335;79;22990.0;5;123;1;60.0;7094.27
8;17;20;9;59060.0;9;148;5;60.0;27184.21
7;18;10;80;19490.0;4;119;1;60.0;7021.38
11;14;10;25;18890.0;4;123;1;60.0;6110.54
7;17;4;35;27000.0;6;139;3;60.0;12056.57
7;17;6;35;27000.0;6;139;3;60.0;12056.57
7;17;5;35;27000.0;6;139;3;60.0;11482.45
10;15;26;35;24300.0;7;141;1;60.0;10542.29
3;22;9;35;22500.0;7;141;1;60.0;9895.49
7;17;6;35;27000.0;6;139;3;60.0;12056.57
7;17;5;35;27000.0;6;139;3;60.0;12056.57
7;17;5;35;27000.0;6;139;3;60.0;12056.57
12;13;11350;80;23800.0;5;121;1;60.0;8581.87
6;19;2;25;20860.0;4;123;1;60.0;7533.71
6;19;2;25;20860.0;4;123;1;60.0;7533.71
44;0;55833;23;23268.0;5;148;3;36.0;6058.33
10;14;15555;37;19024.0;5;127;1;60.0;7698.39
13;12;25847;26;21330.0;6;136;1;60.0;7896.88
4;21;2;81;37260.0;7;145;1;60.0;16830.43
2;23;11;81;47860.0;11;27;6;60.0;25208.85
3;21;10;42;18890.0;4;105;7;60.0;7624.78
14;11;29013;26;21794.0;6;130;3;60.0;7644.37
12;12;22300;27;23290.0;6;114;3;60.0;8376.09
11;14;26673;26;22194.0;6;136;1;60.0;8036.48
13;11;21075;26;21506.0;6;136;1;60.0;7977.68
2;23;11;81;47860.0;11;27;6;60.0;25208.85
4;21;2;81;36460.0;7;145;1;60.0;16469.07
4;21;3;84;38360.0;7;141;1;60.0;16523.91
8;29;10;69;30490.0;7;153;1;60.0;9016.36
24;1;7135;54;33990.0;10;45;7;60.0;12085.71
33;0;21130;82;21990.0;7;126;1;48.0;8731.63
19;18;21572;114;29490.0;10;42;7;60.0;11460.81
6;19;4;29;36360.0;7;130;3;60.0;14321.37
3;22;1;29;34860.0;7;130;3;60.0;13630.17
4;20;20;29;35860.0;7;130;3;60.0;14026.18
